"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
United Kingdom ,K02000001,"28,210",17.09,6.8,21.65,6.9,11.64,12.50,13.00,13.63,15.10,19.52,22.69,24.64,26.90,34.75,,,,,,,,
Great Britain,K03000001,"27,150",17.17,6.8,21.75,6.9,11.65,12.50,13.03,13.68,15.17,19.61,22.82,24.82,27.09,34.96,,Key,Statistical robustness,,,,,
England and Wales,K04000001,"24,701",17.14,7.1,21.81,7.2,11.64,12.50,13.01,13.64,15.12,19.57,22.77,24.83,27.18,35.19,, CV <= 5% , Estimates are considered precise  ,,,,,
England,E92000001,"23,468",17.21,7.1,21.95,7.2,11.64,12.50,13.03,13.68,15.18,19.68,22.96,25.00,27.39,35.54,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
North East ,E12000001,956,15.22,5.8,18.82,6.9,11.49,12.05,12.45,12.82,13.94,17.08,19.46,21.28,23.16,28.88,, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
North West ,E12000002,"2,964",16.28,7.4,20.30,7.9,11.55,12.31,12.76,13.24,14.54,18.64,21.59,23.24,25.50,32.12,, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
Yorkshire and The Humber ,E12000003,"2,208",15.85,8.0,19.59,7.6,11.54,12.24,12.61,13.08,14.31,17.95,20.56,22.31,24.37,30.60,, .. = disclosive ,,,,,,
East Midlands ,E12000004,"1,890",15.38,6.2,19.06,6.4,11.50,12.06,12.49,12.92,14.05,17.40,19.92,21.73,23.69,29.45,, : = not applicable ,,,,,,
West Midlands ,E12000005,"2,227",15.97,5.0,20.00,5.5,11.50,12.17,12.59,13.10,14.36,18.10,20.91,22.57,24.73,31.25,, - = nil or negligible  ,,,,,,
East ,E12000006,"2,504",16.74,6.8,21.10,9.0,11.56,12.38,12.84,13.40,14.91,18.98,22.06,23.96,26.06,33.21,,,,,,,,
London ,E12000007,"4,453",21.88,6.3,28.44,6.5,12.52,14.24,15.21,16.43,19.04,25.61,30.00,32.58,36.03,47.75,,,,,,,,
South East ,E12000008,"3,949",17.75,6.9,21.98,6.8,11.75,12.65,13.24,13.97,15.63,20.38,23.65,25.58,27.69,35.35,,,,,,,,
